authorDisplayName;textDisplay;clean_comment;sentiment;
@xcie69;jhon bahas emiten smkm sama lsip jhon😊;jhon bahas emiten smkm sama lsip jhon;netral;
@dosibonbon;Saya sudah pegang ptba lama..msih avg 4650;saya sudah pegang ptba lamamsih avg;netral;
@adiputrapangestu5920;​@@dosibonbonkalo ga banyak lot nya gpp 😢;dosibonbonkalo ga banyak lot nya gpp;positif;
@dahamadiun1371;AMAN bang Amanda;aman bang amanda;positif;
@ziletmuse5318;Bahas mmix donk.. Hehe;bahas mmix donk hehe;netral;
@RiqikArdiansyah-gd9vo;Semoga dpr nya besar , kata pak mentri harus gede 😂;semoga dpr nya besar kata pak mentri harus gede;positif;
@sugenglestari3749;Mending mana PTBA vs ADRO bro;mending mana ptba vs adro bro;netral;
@sugenglestari3749;Gue baru sebulan ini beli saham ...yahh baru 40 jt an ...maaih coba2 ..gue pilih peruashaan besar yg sdh punya nama ...lalu tidur nelum pernah gue jual ...naik turun gue cuekin ...;gue baru sebulan ini beli saham yahh baru jt maaih coba gue pilih peruashaan besar yg sdh punya nama lalu tidur nelum pernah gue jual naik turun gue cuekin;positif;
@i4mchristi4n;tx Jon baru masuk di 2420 DY 18% 😂;tx jon baru masuk di dy;netral;
@yuliaerfendi4672;Mulai serok2 ptba mulai Bln ini;mulai serok ptba mulai bln ini;netral;
@amuharki;jadi serok bln nov atau nunggu jan , feb jhon?;jadi serok bln nov atau nunggu jan feb jhon;netral;
@asfarrudin3172;Udah minus 40% bang. <br>Ttep santay bang😂. Tutup mata;udah minus bang brttep santay bang tutup mata;netral;
@acilbutetshow;Per hari ini (7 November 2023) saya mines 23% . Awalnya niat dividen tahun kemaren eh kebablasan 😅 tapi akhirnya belajar dan belajar terus . Dan karena terpaksa akhirnya terbiasa dan mulai nyicil dan jadi jangka panjang 😅;per hari ini november saya mines awalnya niat dividen tahun kemaren eh kebablasan tapi akhirnya belajar dan belajar terus dan karena terpaksa akhirnya terbiasa dan mulai nyicil dan jadi jangka panjang;negatif;
@tegarzakyprasetyo8081;berapa lot nih;berapa lot nih;netral;
@indrajaya6120;Tim hold hadir boss😊;tim hold hadir boss;netral;
@ipungsaefulloh3496;ko wil, sah gk sih kalo ambil pinjaman ke bank trs masukin ke emiten dengan dividen gede?;ko wil sah gk sih kalo ambil pinjaman ke bank trs masukin ke emiten dengan dividen gede;positif;
@mabuksaham-willyamwen7774;Klo pake duid panas biasanya kagak hoki mas hehe, mending jangan hehe;klo pake duid panas biasanya kagak hoki mas hehe mending jangan hehe;netral;
@ipungsaefulloh3496;@@mabuksaham-willyamwen7774 saham pegangan yang bagi dividen lagi pada diskon ingin rasanya nyerok banyak wkwk;mabuksahamwillyamwen saham pegangan yang bagi dividen lagi pada diskon ingin rasanya nyerok banyak wkwk;positif;
@fadjarkusmanto719;Jgn terlalu mabuk bang 😅;jgn terlalu mabuk bang;negatif;
