authorDisplayName;textDisplay;clean_comment;;
@mabuksaham-willyamwen7774;LAPORAN KEUANGAN Q3 2023 LAINNYA:;;;
"<br>1. EAST (Eastparc Hotel): <a href=""""https://youtu.be/xMokJr4ZNz4"""">https://youtu.be/xMokJr4ZNz4";;;;
"</a><br>2. DOOH (Era Media Sejahtera): <a href=""""https://youtu.be/s1eNedcQirQ"""">https://youtu.be/s1eNedcQirQ";;;;
"</a><br>3. PJAA (Pembangunan Jaya Ancol): <a href=""""https://youtu.be/QOgl09DkMvs"""">https://youtu.be/QOgl09DkMvs";;;;
"</a><br>4. BBCA (Bank Central Asia): <a href=""""https://youtu.be/E75vyBUySmY"""">https://youtu.be/E75vyBUySmY";;;;
"</a><br>5. IPCC (Indonesia Kendaraan Terminal): <a href=""""https://youtu.be/8FnXYOTebfw"""">https://youtu.be/8FnXYOTebfw";;;;
"</a><br>6. BTPS (Bank BTPN Syariah): <a href=""""https://youtu.be/ljGIvKKXTMI"""">https://youtu.be/ljGIvKKXTMI";;;;
"</a><br>7. BBRI (Bank Rakyat Indonesia): <a href=""""https://youtu.be/kVnVD5c8WWo"""">https://youtu.be/kVnVD5c8WWo";;;;
"</a><br>8. BNGA (Bank CIMB Niaga): <a href=""""https://youtu.be/QdZh_f_YDTY"""">https://youtu.be/QdZh_f_YDTY";;;;
"</a><br>9. BJBR (Bank Pembangunan Daerah Jawa Barat dan Banten): <a href=""""https://youtu.be/3b8ApsRrYXY"""">https://youtu.be/3b8ApsRrYXY";;;;
"</a><br>10. TPMA (Trans Power Marine): <a href=""""https://youtu.be/wTTjQ0d7YTU"""">https://youtu.be/wTTjQ0d7YTU";;;;
"</a><br>11. SGRO (Sampoerna Agro): <a href=""""https://youtu.be/ofMterjybdM"""">https://youtu.be/ofMterjybdM";;;;
"</a><br>12. CNMA (Nusantara Sejahtera Jaya): <a href=""""https://youtu.be/1SGPxdxWeSc"""">https://youtu.be/1SGPxdxWeSc";;;;
"</a><br>13. BMBL (Lavender Bina Cendikia): <a href=""""https://youtu.be/fspnxp9nXBY"""">https://youtu.be/fspnxp9nXBY</a><br>14. PTBA (Bukit Asam): <a href=""""https://youtu.be/hC8YSP3rG4A"""">https://youtu.be/hC8YSP3rG4A</a>""";laporan keuangan q lainnya br east eastparc hotel hrefhttpsyoutubexmokjrznzhttpsyoutubexmokjrznz abr dooh era media sejahtera hrefhttpsyoutubesenedcqirqhttpsyoutubesenedcqirq abr pjaa pembangunan jaya ancol hrefhttpsyoutubeqogldkmvshttpsyoutubeqogldkmvs abr bbca bank central asia hrefhttpsyoutubeevybuysmyhttpsyoutubeevybuysmy abr ipcc indonesia kendaraan terminal hrefhttpsyoutubefnxyotebfwhttpsyoutubefnxyotebfw abr btps bank btpn syariah hrefhttpsyoutubeljgivkkxtmihttpsyoutubeljgivkkxtmi abr bbri bank rakyat indonesia hrefhttpsyoutubekvnvdcwwohttpsyoutubekvnvdcwwo abr bnga bank cimb niaga hrefhttpsyoutubeqdzhfydtyhttpsyoutubeqdzhfydty abr bjbr bank pembangunan daerah jawa barat dan banten hrefhttpsyoutubebapsrryxyhttpsyoutubebapsrryxy abr tpma trans power marine hrefhttpsyoutubewttjqdytuhttpsyoutubewttjqdytu abr sgro sampoerna agro hrefhttpsyoutubeofmterjybdmhttpsyoutubeofmterjybdm abr cnma nusantara sejahtera jaya hrefhttpsyoutubesgpxdxweschttpsyoutubesgpxdxwesc abr bmbl lavender bina cendikia hrefhttpsyoutubefspnxpnxbyhttpsyoutubefspnxpnxbyabr ptba bukit asam hrefhttpsyoutubehcysprgahttpsyoutubehcysprgaa;;;
@xcie69;jhon bahas emiten smkm sama lsip jhon😊;jhon bahas emiten smkm sama lsip jhon;;
@dosibonbon;Saya sudah pegang ptba lama..msih avg 4650;saya sudah pegang ptba lamamsih avg;;
@adiputrapangestu5920;​@@dosibonbonkalo ga banyak lot nya gpp 😢;dosibonbonkalo ga banyak lot nya gpp;;
@dahamadiun1371;AMAN bang Amanda;aman bang amanda;;
@ziletmuse5318;Bahas mmix donk.. Hehe;bahas mmix donk hehe;;
@RiqikArdiansyah-gd9vo;Semoga dpr nya besar , kata pak mentri harus gede 😂;semoga dpr nya besar kata pak mentri harus gede;;
@sugenglestari3749;Mending mana PTBA vs ADRO bro;mending mana ptba vs adro bro;;
@sugenglestari3749;Gue baru sebulan ini beli saham ...yahh baru 40 jt an ...maaih coba2 ..gue pilih peruashaan besar yg sdh punya nama ...lalu tidur nelum pernah gue jual ...naik turun gue cuekin ...;gue baru sebulan ini beli saham yahh baru jt maaih coba gue pilih peruashaan besar yg sdh punya nama lalu tidur nelum pernah gue jual naik turun gue cuekin;;
@i4mchristi4n;tx Jon baru masuk di 2420 DY 18% 😂;tx jon baru masuk di dy;;
@yuliaerfendi4672;Mulai serok2 ptba mulai Bln ini;mulai serok ptba mulai bln ini;;
@amuharki;jadi serok bln nov atau nunggu jan , feb jhon?;jadi serok bln nov atau nunggu jan feb jhon;;
@asfarrudin3172;Udah minus 40% bang. <br>Ttep santay bang😂. Tutup mata;udah minus bang brttep santay bang tutup mata;;
@acilbutetshow;Per hari ini (7 November 2023) saya mines 23% . Awalnya niat dividen tahun kemaren eh kebablasan 😅 tapi akhirnya belajar dan belajar terus . Dan karena terpaksa akhirnya terbiasa dan mulai nyicil dan jadi jangka panjang 😅;per hari ini november saya mines awalnya niat dividen tahun kemaren eh kebablasan tapi akhirnya belajar dan belajar terus dan karena terpaksa akhirnya terbiasa dan mulai nyicil dan jadi jangka panjang;;
@tegarzakyprasetyo8081;berapa lot nih;berapa lot nih;;
@indrajaya6120;Tim hold hadir boss😊;tim hold hadir boss;;
@ipungsaefulloh3496;ko wil, sah gk sih kalo ambil pinjaman ke bank trs masukin ke emiten dengan dividen gede?;ko wil sah gk sih kalo ambil pinjaman ke bank trs masukin ke emiten dengan dividen gede;;
@mabuksaham-willyamwen7774;Klo pake duid panas biasanya kagak hoki mas hehe, mending jangan hehe;klo pake duid panas biasanya kagak hoki mas hehe mending jangan hehe;;
@ipungsaefulloh3496;@@mabuksaham-willyamwen7774 saham pegangan yang bagi dividen lagi pada diskon ingin rasanya nyerok banyak wkwk;mabuksahamwillyamwen saham pegangan yang bagi dividen lagi pada diskon ingin rasanya nyerok banyak wkwk;;
@fadjarkusmanto719;Jgn terlalu mabuk bang 😅;jgn terlalu mabuk bang;;
@ipungsaefulloh3496;@@fadjarkusmanto719 gemes banget bang liat diskonan begitu, tapi apa daya diemin aja 😅;fadjarkusmanto gemes banget bang liat diskonan begitu tapi apa daya diemin aja;;
@bennytaruna8019;gak ada duit😢 modal gw nyangkut di GEMS;gak ada duit modal gw nyangkut di gems;;
@akhmadididi952;Bahas saham TOTL bang, laporan keuangan Q3 naik.....;bahas saham totl bang laporan keuangan q naik;;
@nurliysiringoringo8913;Harga ptba aku di 3700 bang  berarti hold Aja ya Bang  menurut Analisa Abang hari ini  thanks bang;harga ptba aku di bang berarti hold aja ya bang menurut analisa abang hari ini thanks bang;;
@pdkudamas;Hold tahan sampai bagi dividend. Biasa naik.;hold tahan sampai bagi dividend biasa naik;;
@aldyawliya3616;thanks koh;thanks koh;;
@ROMIPRADANA;Bro willyam wen semangat terus memberikan pemahaman tentang investasi, Semoga semakin sukses dan dilimpahin peruntungan sepanjang tahun dan semakin hoki;bro willyam wen semangat terus memberikan pemahaman tentang investasi semoga semakin sukses dan dilimpahin peruntungan sepanjang tahun dan semakin hoki;;
@elsyafahrizarisky5072;thank you koh wil 🎉;thank koh wil;;
