publishedAt;authorDisplayName;textDisplay;likeCount;
2023-06-20T08:53:56Z;@theinvestor;"Silahkan download EBOOK 5 SAHAM UNDERVALUE (Update kinerja kuartal I - 2023) Dapatkan secara GRATIS : <a href=""https://theinvestor.id/free-ebook-watchlist/"">https://theinvestor.id/free-ebook-watchlist/</a> <br><br>Ikuti program online course VALUE INVESTING MASTERY: <a href=""https://valueinvestingmastery.id/"">https://valueinvestingmastery.id/</a> <br><br>Follow juga IG The Investor: <a href=""https://www.instagram.com/theinvestor_id/"">https://www.instagram.com/theinvestor_id/</a><br><br>Join Channel Telegram The Investor: <a href=""https://t.me/theinvestor_id"">https://t.me/theinvestor_id</a>";2;
2023-12-03T08:43:11Z;@INYOMANLINGGIH;Seteiah exdeviden kiita jual saham kan masih dpt deviden ya bang;0;
2023-11-29T22:00:52Z;@imamahmadi4925;Jgn beli ptba maksudnya apa;0;
2023-11-30T00:43:16Z;@theinvestor;Video sudah lama pak, bisa dilihat kembali kapan video tersebut dipublish dan poin apa yg kita bahas di video tersebut 😊👍🏻;0;
2023-11-23T03:51:52Z;@sugenglestari3749;Tq;0;
2023-11-20T11:19:33Z;@herukurniawanyt8922;Larangan orang jalan ninja ku...wkwkw..udh lama ke beli ptba.. untung minus gk dalem;0;
2023-11-09T01:23:14Z;@of0907;harga saham sudah 2300-aa, terima kasih ilmunya pak.;1;
2023-11-26T22:38:33Z;@sahappy5711;jdi kaka serok kah..? mau serok tpi masih peajari dulu;0;
2023-10-15T10:02:59Z;@otistan2153;Dividend investing = hold &amp;;
2023-09-29T16:35:18Z;@farasiansimbolon6208;Wajar saham itu turun, naik tinggal kesabaran, dan long time, industri masih butuh batu bara, bukan mudah konversi energi.;1;
2023-09-17T03:24:59Z;@anggajaya2619;Avg q 2.900 gmn sbaiknya y. Mohon saranya suhu;0;
2023-09-12T12:05:47Z;@Sigalinggingheri;Beli di Sep 2022 sekitar 4000 dan dividend buat price average adjusment and bbrp inject dana tambah Lot. Semoga bisa bagus dividend yield 2024. Thansk bro  Eros pencerahannya👍☕️;0;
2023-09-08T04:52:36Z;@widyantotomo939;SETUJUU;0;
2023-09-01T12:02:39Z;@smekebijakan4078;Sahamnya sdh naik lg kok😅. Harusnya serok lg;0;
2023-08-29T22:46:08Z;@junaediwahid5837;Kebanyakan youtuber saham tidak melakukan apa yg mereka ucapkan. So waspadalsh...!;0;
2023-08-31T09:44:19Z;@theinvestor;Insyaallah, saya lakukan apa yg saya sharingkan 😊👍🏻;0;
2023-08-10T02:19:11Z;@hotnariski4309;Tetapkan akan gue buy itu PTBA;0;
2023-08-11T03:05:11Z;@theinvestor;🔥🔥💪🏻💪🏻;0;
2023-08-05T10:24:02Z;@acernigrum;Astaga bng, aku baru aja beli, divident nya itu lo, menggiurkan. Bagusnya langkah ku gimana bng agar gk rugi 🥲;0;
